Time,LogSeconds,LogMilliseconds,DelayLevelInPercentage,ECU_ON_Injector_Microseconds,ComputedDelayToAddInMicroseconds,DelayAddedInMicroseconds,OnInjectorMicroseconds,OffInjectorMicroseconds,WarningCount,RPMs,NewInjectorDutyCycle (%),EcuInjectorDutyCycle (%)
15:10:56,18,514,5,7300,300,400,7700,56500,0,1880,11.99376947,11.37071651
15:10:56,18,578,5,7300,300,400,7700,56800,0,1880,11.9379845,11.31782946
15:10:56,18,641,5,7300,300,400,7700,56700,0,1872,11.95652174,11.33540373
15:10:56,18,705,5,7300,300,400,7700,57000,0,1875,11.90108192,11.28284389
15:10:56,18,769,5,7300,300,400,7700,56800,0,1866,11.9379845,11.31782946
15:10:56,18,833,5,7300,300,400,7700,56200,0,1872,12.05007825,11.42410016
15:10:56,18,896,5,7300,300,400,7700,55700,0,1889,12.14511041,11.51419558
15:10:56,18,958,5,7300,300,400,7700,55600,0,1904,12.164297,11.53238547
15:10:57,19,19,5,7300,300,400,7700,55000,0,1907,12.28070175,11.64274322
15:10:57,19,82,5,7200,300,400,7600,54600,0,1926,12.21864952,11.5755627
15:10:57,19,144,5,7300,300,400,7700,54900,0,1941,12.30031949,11.66134185
15:10:57,19,207,5,7300,300,400,7700,55500,0,1929,12.1835443,11.55063291
15:10:57,19,270,5,7200,300,400,7600,56000,0,1910,11.94968553,11.32075472
15:10:57,19,332,5,7300,300,400,7700,55300,0,1898,12.22222222,11.58730159
15:10:57,19,394,5,7300,300,400,7700,55100,0,1916,12.2611465,11.62420382
15:10:57,19,457,5,7300,300,400,7700,55800,0,1923,12.12598425,11.49606299
15:10:57,19,520,5,7200,300,400,7600,56000,0,1901,11.94968553,11.32075472
15:10:57,19,585,5,7300,300,400,7700,57100,0,1898,11.88271605,11.2654321
15:10:57,19,649,5,7200,300,400,7600,57400,0,1863,11.69230769,11.07692308
15:10:57,19,713,5,7200,300,400,7600,57100,0,1857,11.74652241,11.12828439
15:10:57,19,777,5,7300,300,400,7700,56900,0,1866,11.91950464,11.3003096
15:10:57,19,841,5,7300,300,400,7700,56000,0,1869,12.08791209,11.4599686
15:10:57,19,903,5,7300,300,400,7700,55500,0,1895,12.1835443,11.55063291
15:10:57,19,966,5,7200,300,400,7600,56000,0,1910,11.94968553,11.32075472
15:10:58,20,30,5,7200,300,400,7600,56700,0,1898,11.81959565,11.19751166
15:10:58,20,93,5,7200,300,400,7600,57200,0,1877,11.72839506,11.11111111
15:10:58,20,159,5,7200,300,400,7600,58000,0,1863,11.58536585,10.97560976
15:10:58,20,225,5,7300,300,400,7700,58900,0,1840,11.56156156,10.96096096
15:10:58,20,290,5,7300,300,400,7700,58900,0,1812,11.56156156,10.96096096
15:10:58,20,357,5,7300,300,400,7700,58000,0,1812,11.71993912,11.11111111
15:10:58,20,421,5,7200,300,400,7600,57600,0,1837,11.65644172,11.04294479
15:10:58,20,486,5,7200,300,400,7600,57400,0,1851,11.69230769,11.07692308
15:10:58,20,551,5,7200,300,400,7600,57600,0,1857,11.65644172,11.04294479
15:10:58,20,614,5,7200,300,400,7600,57700,0,1851,11.63859112,11.02603369
